# case	version	url	sha256	git_commit	srpm_member	member_sha256
upstream-11.2.9	11.2.9	https://codeload.github.com/sysstat/sysstat/tar.gz/44851be99b5cb9760d80af24a129f4d4394e9d97	317b258396c69d9723e6de491de76bc3ceeca99a00c9144b9a0cc0a417d1f597	44851be99b5cb9760d80af24a129f4d4394e9d97	-	-
upstream-11.2.10	11.2.10	https://codeload.github.com/sysstat/sysstat/tar.gz/a5676b9e90efee7210eea62f6b31fb8fa0474fc1	5aa5eb421b5ef480a2fab49aa119a24aa56eab37c69200b51dbad5d0230c90ed	a5676b9e90efee7210eea62f6b31fb8fa0474fc1	-	-
upstream-11.2.11	11.2.11	https://codeload.github.com/sysstat/sysstat/tar.gz/5f4e9d59f4db3a5d886c27ff809adf3fa056ac86	d8bafadc29c899ef95db41b7052625791f270b8fd660220da61b072a14c0157d	5f4e9d59f4db3a5d886c27ff809adf3fa056ac86	-	-
upstream-11.2.12	11.2.12	https://codeload.github.com/sysstat/sysstat/tar.gz/6a932098411f3cec89402a1952adb6f227697709	72c24b484f9d729b5379e65a73626075afaf527942c1f6486d268b2f2b74d89e	6a932098411f3cec89402a1952adb6f227697709	-	-
upstream-11.2.13	11.2.13	https://codeload.github.com/sysstat/sysstat/tar.gz/35c02c214164198acd70955fc17065b6548b09f3	256c411795327c61df7b662c34d6c8aa0beef401ed9ce3b9e034a6fa86614226	35c02c214164198acd70955fc17065b6548b09f3	-	-
upstream-11.2.14	11.2.14	https://codeload.github.com/sysstat/sysstat/tar.gz/d36f16ac4847c81b205552298e67ac8a72a09b31	88e758bf52011175fb2e5ba3fcdaebcbb6df1c766b912015848f75549b1310f6	d36f16ac4847c81b205552298e67ac8a72a09b31	-	-
upstream-11.3.1	11.3.1	https://codeload.github.com/sysstat/sysstat/tar.gz/14dfa17ce30db095e6f8ffaf3f381c802de0b10b	5ff9c075b9ccd7fd21343ef9ecfbbb61dec08f01e3194905616e14a497cec57d	14dfa17ce30db095e6f8ffaf3f381c802de0b10b	-	-
upstream-11.3.2	11.3.2	https://codeload.github.com/sysstat/sysstat/tar.gz/741bb01416400a9f7f0f4939e2f73823c74d796c	dbc93be38d9927639de2753cc26a9475113b120546cae21897bb474b3b4b6ff8	741bb01416400a9f7f0f4939e2f73823c74d796c	-	-
upstream-11.3.3	11.3.3	https://codeload.github.com/sysstat/sysstat/tar.gz/5d1d6f6e47f17aedb25df5eb3a1b6f2a119d355d	b7b5099970309f0b8b275f8f559e1799c551b7281e48122ab319d3b40cb59d14	5d1d6f6e47f17aedb25df5eb3a1b6f2a119d355d	-	-
upstream-11.3.4	11.3.4	https://codeload.github.com/sysstat/sysstat/tar.gz/b2e3fce0b5300f81400ee7f4e1d61c6ab1d1aef7	01768a63229b8b7efe7e837d55296aba96e00136a2421e5bd7e9652843e1e10f	b2e3fce0b5300f81400ee7f4e1d61c6ab1d1aef7	-	-
upstream-11.3.5	11.3.5	https://codeload.github.com/sysstat/sysstat/tar.gz/e350f56ee15863c0a70d0e07d8dcd47f9c40e36c	852561f91b7f994ced0f075999a6bfe5d9ab89c1f2c529ae792da1d4a72731cc	e350f56ee15863c0a70d0e07d8dcd47f9c40e36c	-	-
